case_id,scenario,expected,coverage_status,evidence_or_candidate,gap_or_next,platform_baseline,python_baseline,review_date
X13,E02 成功后 30 秒、重启、迟到合格报告,原期限及算法成功可恢复；仍有效运行的合格迟到报告可恢复展示；重启后LOST旧实例不得伪造就绪,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/http-gaps.json; db-before-restart.json; db-final.json; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; 既有coverage-gaps/http-gaps.json及db-before/after-restart证明持久期限与成功结果保留；既有真实STALE重新同步闭环与本轮服务层迟到报告测试。重启后LOST的旧运行不得视为合格展示来源,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
X14,提案已落库但响应丢失后刷新,原 path/body/key 恢复同一 proposal；不创建重复资源,PASS,前端恢复实现及成员四汇总记录; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/browser/browser-proposal-recovery.json,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X15,确认响应丢失并超过提案有效期,原计划原键恢复既有 execution；不再发送动作,PASS,VoiceControlTests.confirmedReplaySurvivesExpiry; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md,确认响应丢失且提案过期后，通过权威查询恢复同一 execution；原幂等记录存在，无第二次确认 POST 或算法动作。,77d8955 (3e37759 + local fixes),3e37759 unchanged runner,2026-09-22
X16,未确认期间上下文变化、恢复日志仍为旧 body,不悄悄改 body/key；失效后显式新建提案,PASS,前端恢复实现及成员四汇总记录; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; stale-proposal-browser：响应丢失、真实状态变化、刷新仍原body/key，旧确认409 CONTEXT_CHANGED,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X17,用户退出/切换、权限撤销后恢复,不跨用户展示本地数据；服务端重新鉴权，拒绝缓存绕过,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/http-gaps.json; browser-injection.json; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; role-revoked-browser：真实运行撤权后刷新，缓存提案确认403、零新增执行；结合既有A→B→A隔离及旧消息拒绝回归,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
X18,功能关闭但执行在途,新写拒绝，GET/回执/对账继续；重启另按 LOST,PASS,VoiceControlTests.disableStopsNewWritesButDrainsAcceptedExecution; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/java-final.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X19,Unity断开、算法仍 SUCCEEDED,页面分别显示算法结果和画面状态；不降级为算法失败,PASS,P14-UNITY-FIX-20260922.md; evidence/p14-unity-fix-20260922/,两个独立真实浏览器会话均获得 SCENE_READY；确认 START 后卸载真实 WebGL iframe，算法 SUCCEEDED 保持，PENDING→STALE；无假报告。,ae46345 + local acceptance/frontend changes,2fe4d1e + local P14 fix SHA256 0D2A436C,2026-09-22
X20,所有用例仅 FakeRunner 或 Mock 通过,不宣称 P0 完成；必须补真实轻量 adapter 与 WebGL 证据,PASS,REMAINING-GAPS-REVIEW-20260922.md; evidence/remaining-gaps-20260922/,证据审查完成：并非仅 Fake/Mock；已有真实 Runner 7 项回归、两个真实 WebGL 会话断连验收，关联身份和15份证据哈希一致。此项是验收证据门槛，不是额外一次运行测试，也不代表全部96项完成。,ae46345 + local acceptance tests,2fe4d1e + local P14 fix,2026-09-22
A01,未登录调用所有 P0 端点,401；0 提案/执行/管道写入,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceHttpTests.xml#allEndpointsDenyAnonymousAndAllPostsRequireCsrf,MockMvc：5 个 GET、6 个 POST 未登录均 401；6 个 POST 缺失/错误 CSRF 共 12 组合均 403 CSRF_INVALID；零提案/执行。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
A02,A 登录但 POST 缺失或错误 CSRF,403 CSRF_INVALID；0 副作用,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceHttpTests.xml#allEndpointsDenyAnonymousAndAllPostsRequireCsrf,MockMvc：5 个 GET、6 个 POST 未登录均 401；6 个 POST 缺失/错误 CSRF 共 12 组合均 403 CSRF_INVALID；零提案/执行。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
A03,C/D 调用提案、确认、取消,403；不能因前端按钮可见而执行,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceHttpTests.xml#bothNonAdminRolesDenyEveryCommandWrite; http-gaps.json,VIEWER/OPERATOR × 提案/确认/取消均 403；实际运行中复用原 ADMIN 会话撤权也被拒绝。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
A04,B 用 R 的 UUID 查询/写入,404，与不存在实例响应一致；不泄露状态,PASS,VoiceControlTests.crossOwnerNotFoundAndServiceRoleRechecked; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/cross-owner.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
A05,A 直接调用代理后的应用 Service，随后撤销 ADMIN 再调用,首次按权限；撤权后拒绝；不是只测 Controller 注解,PASS,VoiceControlTests.crossOwnerNotFoundAndServiceRoleRechecked; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/java-final.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
A06,请求添加 ownerUserId、runId、executionBackend、requiresConfirmation=false,400；未知字段不被忽略,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#dangerousUnknownProposalFieldsAreRejected,4 个额外字段分别测试 INVALID_REQUEST，零提案/执行/管道写入。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
A07,body 超过 16 KiB 或 Content-Type 错误,413/415；不建立业务资源,PASS,VoiceHttpTests; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/java-final.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
A08,功能关闭请求写接口,503 VOICE_CONTROL_DISABLED；原手动入口仍可工作,PASS,VoiceControlTests.disableStopsNewWritesButDrainsAcceptedExecution; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/java-final.log; legacy-prepare.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
A09,撤销权限后重放同 Idempotency-Key,拒绝重放，不从响应缓存泄露已有对象,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#revocationRejectsCachedConfirmationAndNewWrites; http-gaps.json,3 种撤权状态下同键确认重放拒绝；真实 HTTP 同键提案缓存重放拒绝；发送前复检使已排队执行失效。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
A10,GET contexts 无本人实例,200 SUCCESS，data=[]；不自动准备实例,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceHttpTests.xml#readHasNoStoreAndNoInstancesIsEmpty,MockMvc：无本人实例返回 200 和空数组，Cache-Control=no-store；无自动 prepare。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R01,prepare 绑定 A，重复 prepare 同存活进程,同一 runtimeRef/G1；不会新建代次或关闭进程,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceProcessTests.xml#existingManagerNegotiatesPipesAndSerializesFourManualActions,Java 管理真实子进程夹具：重复 prepare 保持 ref/generation；进程夹具不等同生产 Python adapter，但本项生命周期断言已执行。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R02,替换/重建进程得到 G2，确认 G1 提案,仍待确认时409 GENERATION_MISMATCH；进程结束已使其失效时409 PROPOSAL_INVALIDATED；旧提案失效，0新进程写入,PASS,VoiceRealRunnerFaultTests.restartRejectsOldGenerationCommandAndReceipt; RUNNER-FAULTS-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; proposal-generation.log：真实进程替换使旧提案INVALIDATED，确认409 PROPOSAL_INVALIDATED；仍待确认的代次不匹配409 GENERATION_MISMATCH，均零新进程写入,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
R03,B 尝试占用 A 的独立槽位,RUNTIME_BUSY；A 进程不被结束,PASS,VoiceProcessTests; VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/legacy-prepare.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
R04,旧实例没有 owner 元数据,不认领；写入拒绝，提示重新准备,PASS,VoiceCoverageGapTests#ownerlessContextCannotBeClaimedByCurrentAdmin；evidence/additional-cases-20260922/java.log; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; ownerless-process.log + frontend-ownerless.log：真实进程缺归属不能被prepare认领/不能创建执行，UI提供重新生成及管理员清理指引,按关联报告界定的分支和层级验收通过。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol test,2026-09-22
R05,普通 frame sequence 从 25 到 26,contextVersion 不变，正常确认不被误判过期,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#ordinaryFramesDoNotInvalidatePlan,H2/service：普通帧递增且成员相同后原提案仍能确认。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R06,确认前成员、能力、策略或状态变化,INVALIDATED/CONTEXT_CHANGED；不能扩大对象集合,PASS,VoiceControlTests.changedContextInvalidatesFrozenPlan; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; plan-policy-before.log / plan-policy-after.log：四维冻结计划检查；补策略版本确认和发送前校验，37项通过,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
R07,心跳年龄=5 秒与刚超过 5 秒,前者可用，后者 RUNTIME_UNAVAILABLE；使用后端单调钟,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#heartbeatBoundaryAndPauseDoesNotNeedScene; java-real-faults.log,固定单调钟精确 5000/5001 ms + 真实 Runner 心跳截断均已归档。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R08,PAUSED 长时间无新 frame，但心跳持续,RESUME 不因帧旧而被判离线,PASS,VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; paused-resume-browser/browser-paused.json：暂停16秒后真实恢复RUNNING且Unity已应用,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
R09,START/RESUME 场景报告>10秒；PAUSE/STOP 场景报告失效,前两者 SCENE_NOT_READY，后两者在进程健康时可执行,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#staleSceneGatesOnlyStartAndResume,4 动作均独立测试，场景年龄 10001 ms、心跳新鲜：仅 START/RESUME 被门禁拒绝。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R10,只有 legacy ready 或不支持目标 action,PROTOCOL_UNSUPPORTED/UNSUPPORTED_CAPABILITY；零写入,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#unsupportedProtocolOrActionNeverWrites,legacy 与目标能力缺失分别返回 PROTOCOL_UNSUPPORTED/UNSUPPORTED_CAPABILITY，零执行/写入。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R11,非 P0 域、ROS 执行端、数据库 MissionRun 误当独立实例,拒绝，不选择“另一个可用实例”兜底,PASS,REMAINING-GAPS-REVIEW-20260922.md; evidence/remaining-gaps-20260922/; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; business-run-isolation.log：实际Runner业务任务路径不登记独立P0运行、不选择其他实例，结合既有ROS/域注入拒绝,按关联报告界定的分支和层级验收通过。,ae46345 + local acceptance tests,2fe4d1e + local P14 fix,2026-09-22
R12,每个 action × 每个运行状态参数化,与状态表完全一致；终态不可 RESUME,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#actionStateMatrix,H2/service：4 动作 × 9 状态，共 36 组合。包含 8 个协议运行状态及 LOST；检查合法动作表，不代表 36 个真实算法生命周期。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
R13,algorithmRunId 为不同于 MissionRun 的值或超过 Long 范围,不查询错误业务任务；超范围转换显式拒绝，不溢出,PASS,REMAINING-GAPS-REVIEW-20260922.md; evidence/remaining-gaps-20260922/,实际 AlgorithmRuntimeController 的独立 MockMvc：3 个超 Long 请求 GET/POST 均 400，manager 零调用；合法 9001/Long.MAX_VALUE 无截断。真实管理器配协议子进程夹具的独立运行四动作通过，MissionRunRepository 零访问。不代表带全局 advice 的部署端错误文案已验。,ae46345 + local acceptance tests,2fe4d1e + local P14 fix,2026-09-22
R14,已有未知结果 TIMED_OUT，新提案被确认,EXECUTION_IN_PROGRESS；不得悄悄释放槽位,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#timeoutRemainsUnknownOccupiedAndLateSuccessReconciles,未知结果超时后新确认返回 EXECUTION_IN_PROGRESS，可信迟到成功可对账且不重发。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I01,创建提案,201；1 提案、0 execution、0 stdin 写入；30秒窗口,PASS,VoiceCoverageGapTests#proposalCreationAndReplayPreserveExpiryWithoutExecution; evidence/additional-boundaries-20260922/,已单列验证 201、30 秒 expiresAt、1 提案、0 execution/outbox/发送；独立 H2 服务层测试。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol tests,2026-09-22
I02,同用户/operation/键/内容重复创建,200；仍为同一 proposalId，不延长 expiresAt,PASS,VoiceCoverageGapTests#proposalCreationAndReplayPreserveExpiryWithoutExecution; evidence/additional-boundaries-20260922/,推进时钟后重放返回 200，完整响应和 expiresAt 不变，仍只有 1 提案。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol tests,2026-09-22
I03,同键不同 body 或动作,409 IDEMPOTENCY_CONFLICT；原计划不变,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#sameKeyDifferentBodyRejectedBeforeAnyExecution,H2/service：同键改动作被 IDEMPOTENCY_CONFLICT 拒绝；仍只有 1 提案、0 执行。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I04,同键不同用户或不同资源 operation,不串资源；分别按权限及作用域处理,PASS,IDEMPOTENCY-CANCEL-VERIFICATION-20260922.md; evidence/idempotency-cancel-20260922/java.log,独立 H2 服务层：两名实际注册 owner 复用同键分别创建和重放，不串 proposalId，交叉读取404；同键跨 operation/资源取消已有断言，本轮一并通过。,ae46345 + local acceptance tests,not invoked: H2 service-level test,2026-09-22
I05,I05-a：不受支持的请求版本；I05-b：合法格式但哈希不匹配,I05-a：400 INVALID_REQUEST；I05-b：409 PLAN_MISMATCH；均零 execution/outbox/管道写入且原提案不变,PASS,I05-CONTRACT-FIX-20260922.md; evidence/i05-contract-20260922/TEST-VoiceHttpTests.xml#i05SchemaAndPlanErrorsHaveNoSideEffects; evidence/i05-contract-20260922/TEST-VoiceCoverageGapTests.xml#wrongPlanNeverCreatesExecution,已按现行 Schema const=1 统一契约。确认/取消 4 个 HTTP 分支、2 个 service 分支通过；前端提示、Mock 和拒绝后不自动重发通过。非真实浏览器重跑。,ae46345 + I05 contract/UI/test working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I06,now 比 expiresAt 小1ms、恰好相等、超过1ms,前者可确认；后两者 EXPIRED；边界使用固定时钟,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#proposalExpiryAtEachMillisecondBoundary,固定时钟 29999/30000/30001 ms：前者可确认，后两者 PROPOSAL_EXPIRED 并持久化 EXPIRED。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I07,10个并发确认同提案，使用不同键,1 execution、1 outbox；有效写入/apply 各至多1次；均关联同执行,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#confirmConcurrencyHundredRounds/confirmCancelHundredRounds; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; real-concurrent-apply.log：12线程不同key确认，仅1execution/outbox/COMMAND/真实adapter START,本轮验收范围通过，见报告中的层级及限制。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I08,同一个确认响应丢失，再确认已 CONFIRMED 提案,返回原执行最新状态；不按已过的提案窗口生成第二次动作,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#confirmedReplaySurvivesExpiry; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; confirm-lost-browser/browser-proposal-recovery.json：实际202响应丢弃后重试同一确认，200返回原执行,本轮验收范围通过，见报告中的层级及限制。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I09,confirm 与 cancel 并发屏障释放,只有一方赢；取消赢零写入，确认赢取消409,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#confirmConcurrencyHundredRounds/confirmCancelHundredRounds; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; real-concurrent-apply.log：confirm/cancel竞争，真实adapter START数量等于获胜execution且至多1；结合既有100轮双方结果,本轮验收范围通过，见报告中的层级及限制。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
I10,重复 cancel；取消已确认或已失效提案,重复取消幂等；已确认409；不向 runner 发任何撤销动作,PASS,IDEMPOTENCY-CANCEL-VERIFICATION-20260922.md; evidence/idempotency-cancel-20260922/java.log,重复取消、取消已确认、精确30秒到期后取消、runtime ended使提案失效后取消均验证；非法取消409、无额外execution/outbox/Runner写入。,ae46345 + local acceptance tests,not invoked: H2 service-level test,2026-09-22
I11,确认与手动状态操作并发,实例锁与发送前校验保证过期计划不覆盖手动状态,PASS,CONCURRENCY-TERMINAL-UNITY-20260922.md; evidence/concurrency-terminal-unity-20260922/,确认与手动 STOP 并发 30 轮，每轮仅一个 execution/outbox/发送；手动 STOP 成功后旧提案确认被 CONTEXT_CHANGED 拒绝。独立 H2 服务层，不代表真实多进程数据库压力测试。,ae46345 + local tests/frontend changes,2fe4d1e runner SHA256 B3DB7E3D,2026-09-22
I12,Java/Python 对 fixtures 黄金计划计算哈希,得到相同 canonicalJson/sha256；设备输入顺序不同由计划构造规范化,PASS,QUERY-CORRELATION-PLAN-HASH-20260922.md; evidence/query-correlation-20260922/,实际frame成员顺序反转后，两个不同proposalId具有相同完整冻结plan及planHash，设备列表排序一致；Java黄金及48样例、Python契约/黄金哈希/6prepare检查通过。,ae46345 + local acceptance tests,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P01,正常 START/PAUSE/RESUME/STOP,ACCEPTED→SUCCEEDED；commandId/代次相同，状态符合表,PASS,evidence/http-runner-20260922.json; evidence/java-python-062aadd-20260922.json; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md,本机真实 P0 四动作、数据库关联与真实展示回执通过。,77d8955 (3e37759 + local fixes),3e37759 unchanged runner,2026-09-22
P02,同 commandId 同内容投递两次,apply=1；返回原缓存事件序号/内容,PASS,RUNNER-APPLY-PAUSE-VERIFICATION-20260922.md; evidence/apply-count-20260922/,生产v1_main适配器计数：同命令两次投递重放两条原始回执且set_mission_active仅False/True各一次；结合已有真实子进程回放证据。,ae46345 + coverage-only working changes,2fe4d1e + local P14 fix,2026-09-22
